r,General Category,Primary Access Models,Skills Required,Target Audience,Membership Entry,Material Cost,Materials Needed (bring your own design/materials),Technologies,Business Structure,Business Model,GTA Area,Address,Postal Code,Phone Number,Email Address,Potential Classification,Technology (Alphabetical),Notes,Link
Site 3 CoLaboratory,Business,Class/Workshop Only,Training Offered,Public,Membership Needed,Free Use,Materials Provided,"Digital Fabrication, Metalwork Machinery, Woodwork Machinery, Microelectronics, Software",Private,Profit,City of Toronto,718R Ossington Ave,M6G 3T7,no phone number,info@site3.ca,Educational,"3D Printing: Elegoo Saturn S 3D Resin Printer, both filament and resin, along with the necessary tools to finish your prints. 60w laser cutter/etcher.
Electronics: Soldering irons, Multimeters, Oscilloscopes, Arduino components, Transformers, and Power supplies
Metalwork: Colchester Lathe with upgraded tool post and a Wells Index milling machine with CNC capabilities.
Welding Shop: MIG (GMAW/FCAW), Stick (SMAW), TIG (GTAW), Plasma cutter and a Metal bandsaw, Blacksmith shop with propane forge, Anvil and various blacksmithing tools.
Woodwork: Table saw, Miter saw station, Drill press, Thickness planer, Jointer, Router table and tons of Clamps",,https://www.site3.ca/
HackLab.to,Community Centre,Multiple:,Training Offered,Public,Membership Needed,Free Use,Materials Provided,Digital Fabrication,Private,Non-profit,City of Toronto,1677 St Clair Ave W,M6N 1H9,Twitter,contact@hacklab.to,Educational,"3D Printers
Arduino and other Microcontroller Development Boards
Autoclave
CNC Machine
Canon compact digital camera
Colour Laser Printer
Desktop Centrifuge
Duplex-Capable B&W Laser Printer
Electronics Bench (soldering stations, multimeters, oscilloscopes, etc.)
Function Generator
Gel Electrophoresis Apparatus
Ham Shack (Amateur Radio Tools)
Laser Cutter (ULS 25-Watt)
LED Pixelboard
MakerBot 3D Printer
Micropipette Set
Microscopes
Multimedia Tools (Projectors, Sound System)
Oscilloscopes
Power Supplies (Benchtop, Pyramid, etc.)
Sewing Machines and Serger
Stirring Hotplate
Thermocyclers
VMWare Server
Vortexer",open to newcomers on tuesday,https://hacklab.to/about/
Paperhouse Studio,Business,Appointment Based,None,Public,Membership Needed,Cost Per Materials Used ,All Materials Provided,Textile Work,Private,Profit,City of Toronto,180 Shaw St unit 102,M6J 2W5,(416) 546-7589,info@paperhousestudio.com,Educational,,experimental arts studio and collective rooted in paper as the medium,https://paperhousestudio.com/
Maker Kids,Community Centre,Class/Workshop Only,Training Offered,Students,No Membership,Free Use,All Materials Provided,"Dedicated Computers, Microelectronics, Software",Private,Profit,City of Toronto,2451 Bloor St W,M6S 1P7,(647) 247-1678,bw@makerkids.com,Educational,"3D printer
Arduinos
Computers
Microbit kits",,https://makerkids.com/
Maker Kids,,,,,,Free Use,,,,,,1661 Bayview Ave,M4G 3C1,(416) 486-6257,leaside@makerkids.com,,,,https://makerkids.com/
Toronto Tool Library,Business,Multiple:,Training Offered,Public,Membership Needed,Cost Per Materials Used ,All Materials Provided,"Textile Work, Woodwork Machinery, Automated Fabrication",Public,Non-profit,City of Toronto,192 Spadina Ave. Unit 001b,M5T 2C2,(437) 419-0773,support@torontotoollibrary.com,Industrial,"Air Compressor 
Air Hammer 
Air Hose 
Air Nailer/ Stapler 
Air Nozzle 
Allen Key 
Angle Grinder 
Aviation Snips 
Back Saw 
Bar Clamp
Belt sander 
Bicyle Pump 
Bike Chain Breaker 
Bike Tire Lever 
Biscuit Joiner 
Bolt Cutter 
Bolt Extractor 
Bow Saw 
Box cutter 
Button Maker 
Calipers 
Carpenter Square 
Caulk Gun 
C-Clamp
Cement Chisel 
Cement Trowel
Chain Whip 
Chakline 
Chisel
Circular Saw 
Clamp
Clothing Streamer 
Combo pex crimp tool 
Concrete Edging Trowel 
Concrete Sidewalk Edger 
Construction Light 
Corner Clamp
Coping Saw 
Crow bar 
Disc Sander 
Dolly 
Drain Remover 
Dremel
Drill
Drill press 
Drywall Hawk 
Drywall Knife
Drywall lift 
Drywall T-square 
Drywall plane 
Ear Hearing protection 
Earth Auger 
Electric leaf blower 
Electric mixer 
Electric planer 
Electric stapler 
Extension Cord 
Extension pole 
Fabric Stretcher 
F-clamp
File 
Flashlight 
Floor Scraper 
Floor cutter 
Folding chair 
Foot Clamp
Garden Hoe
Garden Rake 
Garden Shears 
Garden Shovel 
Hack Saw 
Hand Saw 
Hammer 
Hammer Drill
Hatchet 
Heat gun 
Hedge Trimmer 
High leverage Diagonal Pilers 
Hi-Lift Farm Jack
Hole Saw 
Hot Glue Gun
Ice Scraper 
IM compressor hose 
Impact Driver 
Impact wrench
Inside corner trowel 
Jab saw 
Jigsaw 
Knee pads 
Ladder 
Laser level 
Laminate Countertop Rubber Roller 
Lawn Mower 
Lawn Rake 
Level 
Long tape 
Measuring tape 
Metal Chop Saw 
Mitre box 
Mitre Saw 
Mixer 
Mouse sander 
Multimeter 
Nailer 
Orbit polisher 
Orbital Sander 
Paint Roller
Paint/Varnish Scraper 
Palm Sander 
Patio Stone Tamper 
Pick Axe 
Pipe Cleaner 
Pipe Cutter 
Pipe Clamp 
Pipe Wrench 
Pitchfork 
Plastic Roller tool 
Plunge Router 
Pneunatic Finishing Nailer 
Pocket Hole 
Pointer Trowel 
Post hole digger 
Power Drill
Power planer 
Pressure Washer 
Prong Weeder 
Prong Claw Cultivator 
Prybar 
Putty Knife 
Punch
Quick Clamp
Rasp 
Reciprocating Saw 
Robertson Screwdriver 
Rotary Tool 
Router  
Rubber mallet 
Safety Glasses 
Saw Horse 
Scissors  
Seeder 
Scraper
Sewing Machine 
Screw Remover 
Screw gun
Scroll Saw 
Sheet Palm Grip Sander 
Sheet sander 
Shovel
Skil Table Saw 
Sledge hammer 
Sliding wet tile saw 
Slip-nut wrench 
Slot head screwdriver 
Smoother Spreader 
Soil Tiller 
Soldering Gun 
Soldering Iron 
Speed Square 
Staple gun 
Step drill bit 
Stiff putty knife 
Stud finder 
Suction vice 
Swivel Base Vise 
Table Saw 
Tagging gun 
Tap & Die Set 
Taping knife 
Telescopic extension pole 
Tile Cutter 
Tile Nippers 
Tin Snips 
Thermometer 
Triscanner 
Trowel 
Tool Bench 
Ton cable puller 
Torque Wrench 
Torque Wrench measuring dial 
Tube Cutter 
Tuck Pointer Trowel 
Vise Crip Bar Clamp 
Wallpaper Scraper 
Weed eater string trimmer 
Welding helmet 
Wet/dry hepa vac
Wet dry vacuum
Wet Tile saw 
Wheelbarrow 
Window and Seren Repair tool 
Wire Brush 
Wire Stripper 
Wrench 
Wood Chisel 
Wood Rasp and file 
3 way Allen key 
6 in 1 tool 
18v Battery 
60-piece SAE and Metric Tap and Die Set
73 Piece Socket Set





","There are many more tools available on the website such as different companies, size, and variation.
This is actually not a makerspace, The Toronto Tool Library is just a place where you can rent out equipment and tool. They have a seperate makerspce where you can use these equipment in their makerspce which is the TTL makerspace.  ",https://torontotoollibrary.com/
MAKO Design + Invent,Business,Appointment Based,Training Offered,Public,No Membership,Cost Per Materials Used ,Materials Provided,,Public,Profit,City of Toronto,213 Sterling Rd Suite 101,M6R 2B2,(416) 855-1137,Website inquiry,Industrial,N/A,"The website advertises end-to-end product development services, but does not list the specific technology available. However, since they are a product development firm with no specific field of expertise, one can assume that they have a vast amount of tools that can aid with any project, design, or idea. They also provide patent referrals.",https://www.makodesign.com/
prototyping spaces at the Schwartz-Reisman Innovation Campus - West Tower FOUR,University/College,Class/Workshop Bookable,Training Offered,Non-specific,No Membership,Free Use,Materials Provided,A/V Equipment,Public,Non-profit,City of Toronto,"108 College Street, to open in fall",M5G 0C6,,entrepreneurship.artsci@utoronto.ca,Educational,"Fused Filament Fabrication, Resin 3D printers, Laser Cutter, Vacuum Former, solder, rework stations, multimeters, oscilloscopes, 3D scanner, refigerators/freezers, kitchen utensils, oven/stove, cookware, sewing maching, Cricut, heat press, hand tools, small power tools, AV equipment (loan)","As this makerspace isn't open yet, there isn't much extra info.",https://www.entrepreneurship.artsci.utoronto.ca/prototyping-makerspace#prototype-labs-accordion-4
RCC 194 TMU Maker Space,University/College,"Walk In, Class/Workshop Only",Training Offered,Students,Membership Needed,Free Use,Materials Provided,"Textile Work, Metalwork Machinery, Dedicated Computers, Digital Fabrication",Private,Non-profit,City of Toronto,80 Gould St,M5B 2M7,(416) 979-5000 (general line),"rta@torontomu.ca (general, email gets forwarded to specific staff to best help)",Educational,"3D Printing, 3D scanning, soldering and other metalwork tools, printers, macbooks, sewing and crafts materials and tools, project storage, modular tables each with an outlet","The makerspace was difficult to locate, and only accessible with a TMU student ID. It is meant for students in the New Media Program, classes will be hosted there, though other TMU students are welcome to visit. It is open 24/7 but there are specific day hours where staff will be available to teach and assist (Monday to Friday 8AM-4:30PM).",https://www.torontomu.ca/rta/facilitiesequipment/facilities-makerspace/
KMDI Makerspace,University/College,Walk In,Training Offered,"Public, Designers, Students, Researchers",No Membership,Free Use,Materials Provided,"Digital Fabrication, Textile Work, A/V Equipment, Automated Fabrication, Microelectronics, Metalwork Machinery, Software, Dedicated Computers",Public,Non-profit,City of Toronto,Currently in the process of relocation and reorganization into the Robarts Library (130 St George St). To open mid- fall semester. Previously in the Bissell Building,M5S 1A5,(416) 978-5634 (general line),"admin.kmdi@utoronto.ca (general, email gets forwarded to specific staff to best help)",Educational,"3D Printing, Electronics, Laser Etching, 3D scanning, laser cutting, electronic prototyping (Arduino, Raspberry Pi, MakeyMakey), soldering, sewing, digital embroidery, Virtual Reality, Bamboo printers (potentially more, to be considered). ","Focuses on learning, research, and prototyping. Most common visitors are graduate students and faculty within the Masters of Information, though it is also open to the public. There are staff hours (specifics are currently being considered) where technicians and staff are available to assist beginners. They are considering a focus on technologies for research purposes (Adaptive gaming gear, accessibility, VR, UX, and adaptive research).",https://kmdi.utoronto.ca/labs/makerspace/
STEAM Labs,Business,Class/Workshop Bookable,Training Offered,Students,No Membership,Cost Per Materials Used ,All Materials Provided,Software,Private,Non-profit,City of Toronto,192 Spadina Ave #001,M5T 2C2,1-647-490-4659,info@steamlabs.ca,Educational,"Micro:bit (makecode), Servo Motor Kit, Neopixel Grid, Neopixel Ring Kit, Fairy Lights Kit","The non-for-profit organization focuses on helping people to understand and think critically of leading-edge science and technology for them to be able to employ the tools in their lives in addition to being knowledgeable and proactive participants in the discussions we must have as a society ensuring they are deployed with fairness, accountability, trust and ethics. As such, it provides educators with teaching kits which contain written instructions, videos, and applications (on a variety of different topics including but not limited to artificial intelligence and internet of things) as well as classes/workshops/pop-ups for students of different ages where they teach them how to make use of technologies such as micro:bit.",https://steamlabs.ca/
ROM Makerspace,Museum,Appointment Based,Training Offered,Students,No Membership,Free Use,Materials Provided,"Digital Fabrication, Dedicated Computers",Public,Non-profit,City of Toronto,"100 Queen’s Park, Toronto",M5S 2C6,416.586.8000,romlearning@rom.on.ca,Educational,"3D printing, coding, and digital storytelling","First, the main purpose of ROM Makerspace is to support education, research and cultural preservation. It provides resources and tools for creating and experimenting with new technologies and engaging the community in museum-related projects. Second, it provides a better experience for the ROM museum, where visitors can also interact with and learn about history while visiting.",https://www.rom.on.ca/en/learn/makerspace
GTA Woodworks,,,,,,,,,,,,123 Hillsview Dr,L4C 1T3,,Websity inquiry,,"Laser Cutter with a 24″ x 36″ bed
3D Printers (PLA and ABS filaments)
Oscilloscopes
Soldering Tools
Amateur Radio Gear
& More!","owned or lended to us by members, so we regularly add new gear.",https://www.ylab.ca/
GTA Woodworks,Business,Appointment Based,Training Offered,Designers,No Membership,Free Use,Materials Provided,Woodwork Machinery,Private,Profit,City of Toronto,"15 Kainona Ave, Toronto, ON ",M3H 3H4,416-706-7711,jeff@GTAWoodWorks.com,Educational,"10″ Table Saw w/ Dado Stack
12″ Compound Sliding Mitre Saw
14″ Bandsaw
Circle Saw
Reciprocating Saw
Multi Tool
6″ Jointer
13″ Planer
Trim Router
5″ Orbital Sander
6″ Orbital Sander
Belt and Spinal Sander
Mini Drill and Impact Driver
Cordless Drill
Drill Press",A mix of appointments to use the provided tools and get help from the owner and classes that teach different parts of wood working.,https://www.gtawoodworks.com/
TPL Digital Innovation Hub Agincourt,Library,,,,,,,,,,,"155 Bonis Avenue, Main floor",M1T 3W6,416-396-3717,aginnovationhub@tpl.ca,,,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/
TPL Digital Innovation Hub Albert Campbell,Library,Walk In,Training Offered,Public,Membership Needed,Cost Per Materials Used ,Materials Provided,"Dedicated Computers, Software, A/V Equipment, Digital Fabrication, Microelectronics",Public,Non-profit,City of Toronto,"496 Birchmount Road, Second floor",M1K 1N8,416-396-8958,acdinnovationhub@tpl.ca,Educational,"24” iMacs with M1 processor, 16 GB RAM (Albert Campbell Branch and York Woods Branch)
Ableton Live Suite
Adobe Creative Cloud 2023
Arduino Kits
Autodesk Fusion 360
Canon DSLR Camera
Canon HD Video Camera
DaVinci Resolve
Dynamic and Condenser microphones
Embroidery machine
External USB Blu-ray drive
Final Cut Pro
Logic Pro
LED Light Panels
Mac Studios with M2 Max processor, 32 GB RAM and 27"" monitors
MIDI keyboard
PCs with i5 processor, 32 GB of RAM and NVIDIA GeForce RTX 3060 12GB video card
Prusa MK3S+ 3D Printers
Raspberry Pi Kits
Reaper
Sewing machines
USB audio interface
Vinyl printer/cutter
Visual Studio Code
Wacom Cintiq graphic tablets
ZBrush Core Mini","To use equipment, talk to staff at a Digital Innovation Hub.
                • A valid Toronto Public Library card is required.
                • You will need to complete and sign an equipment loan form before you can check out equipment. Customers under the age of 18 need to have the form signed by their parent or guardian in person.
                • Equipment can be checked out for up to two hours and renewed only if available.
Full replacement cost is charged for lost or damaged equipment.",https://www.torontopubliclibrary.ca/albertcampbell/
TPL Digital Innovation Hub Albion,Library,Walk In,Training Offered,Public,Membership Needed,Cost Per Materials Used ,Materials Provided,"Dedicated Computers, Software, Microelectronics, A/V Equipment, Digital Fabrication",Public,Non-profit,City of Toronto,"1515 Albion Road, Main floor",M9V 1B2,416-394-5184,abinnovationhub@tpl.ca,Educational,"Ableton Live Suite
Adobe Creative Cloud 2023
Arduino Kits
Autodesk Fusion 360
Canon DSLR Camera
Canon HD Video Camera
DaVinci Resolve
Dynamic and Condenser microphones
Embroidery machine
External USB Blu-ray drive
Final Cut Pro
Logic Pro
LED Light Panels
Mac Studios with M2 Max processor, 32 GB RAM and 27"" monitors
MIDI keyboard
PCs with i5 processor, 32 GB of RAM and NVIDIA GeForce RTX 3060 12GB video card
Prusa MK3S+ 3D Printers
Raspberry Pi Kits
Reaper
Sewing machines
USB audio interface
Vinyl printer/cutter
Visual Studio Code
Wacom Cintiq graphic tablets
ZBrush Core Mini","To use equipment, talk to staff at a Digital Innovation Hub.
                • A valid Toronto Public Library card is required.
                • You will need to complete and sign an equipment loan form before you can check out equipment. Customers under the age of 18 need to have the form signed by their parent or guardian in person.
                • Equipment can be checked out for up to two hours and renewed only if available.
Full replacement cost is charged for lost or damaged equipment.","https://www.torontopubliclibrary.ca/albion/, https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/"
TPL Digital Innovation Hub Downsview,,Walk In,,,,,,,,,,"2793 Keele Street, Main floor",M3M 2G3,416-395-5657,doinnovationhub@tpl.ca,,,,
TPL Digital Innovation Hub Fort York,Library,Walk In,Training Offered,Public,Membership Needed,Cost Per Materials Used ,Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"190 Fort York Boulevard, Second floor",M5V 0E7,416-393-6203,foinnovationhub@tpl.ca,Educational,"The TPL Digital Innovation Hub provides the following technology:
3D Design and Printing: Includes Prusa MK3S+ 3D Printers, Autodesk Fusion 360, and ZBrush Core Mini.
Audio Recording: Features Logic Pro, Ableton Live Suite, Reaper, microphones, USB audio interfaces, and MIDI keyboards.Coding: Offers Arduino Kits, Raspberry Pi Kits, and Visual Studio Code.
Fabrication: Provides sewing machines, an embroidery machine, and a vinyl printer/cutter.
Graphic Design: Includes Wacom Cintiq tablets and Adobe Creative Cloud 2023.
Video Recording: Available tools include Final Cut Pro, DaVinci Resolve, Canon cameras, green screens, and LED light panels.
","TPL Digital Innovation Hub offers various 3D printers like Ultimaker, Original Prusa, Tevo, and Prusa MK3S+, as well as Canon HD and DSLR cameras, dynamic and condenser microphones, vinyl printers/cutters, and MIDI keyboards.",https://www.ocadu.ca/services/studios/experimental-fabrication-studio
TPL Digital Innovation Hub North York Central Library,Library,Walk In,Training Offered,Public,Membership Needed,Cost Per Materials Used ,All Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"5120 Yonge Street, Second floor",M2N 5N9,416-395-5646,clinnovationhub@tpl.ca,Educational,"Ableton Live Suite, Adobe Creative Cloud 2023, Arduino Kits, Autodesk Fusion 360, Bliss Model A Fabric Cutter, Brother Persona PRS100 embroidery machine, Button Maker, Canon DSLR Camera, Canon HD Video Camera, DaVinci Resolve, Dynamic and Condenser microphones, Final Cut Pro, LED Light Panels, Logic Pro, Mac Studios with M2 Max processor, 32 GB RAM and 27"" monitors, MIDI keyboard, PCs with i5 processor, 32 GB of RAM and NVIDIA GeForce RTX 3060 12GB video card, Prusa MK3S+ 3D Printers, Raspberry Pi Kits, Reaper, Sewing machines, The Hotronix Auto Clam Heat Press, USB audio interface, Vinyl printer/cutter, Visual Studio Code, Wacom Cintiq graphic tablets, ZBrush Core Mini, Zoom H4N Pro portable digital audio recorder",,"https://www.torontopubliclibrary.ca/northyorkcentral/, https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/digital-innovation-hubs.jsp"
TPL Digital Innovation Hub Richview,Library,Walk In,Training Offered,Public,Membership Needed,Cost Per Materials Used ,Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"1806 Islington Avenue, Second floor",M9P 3N3,416-394-5151,riinnovationhub@tpl.ca,Educational,"3D Design and Printing
Autodesk Fusion 360
Prusa MK3S+ 3D Printers
ZBrush Core Mini
Audio Recording
Ableton Live Suite
Audio Recording Kits (available for borrowing)
Dynamic and Condenser microphones
Logic Pro
MIDI keyboard
Reaper
USB audio interface
Coding
Arduino Kits (available for borrowing)
Raspberry Pi Kits (available for borrowing)
Visual Studio Code
Fabrication (Fabrication Studio only)
Embroidery machine
Sewing machines
Vinyl printer/cutter
Graphic Design
Adobe Creative Cloud 2023
Wacom Cintiq graphic tablets
Video Recording
Canon DSLR Camera
Canon HD Video Camera
DaVinci Resolve
Final Cut Pro
LED Light Panels
Studio microphones
Studio green screen",,https://www.torontopubliclibrary.ca/richview/
TPL Digital Innovation Hub Scarborough Civic Centre,Library,Walk In,Training Offered,Public,Membership Needed,Free Use,Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"156 Borough Drive, Main floor",M1P 4N7,416-396-3623,scinnovationhub@tpl.ca,Educational,"3D Printers
Adobe Creative Cloud
Audio Recording & Editing
Coding Stations
Digital Conversion Equipment
Green Screen
Photo and Document Scanners
Robotics Kits
Sewing Equipment
Video Recording & Editing",,https://www.torontopubliclibrary.ca/scarborough/
TPL Digital Innovation Hub Toronto Reference Library,Library,Walk In,None,Public,Membership Needed,Free Use,All Materials Provided,"Digital Fabrication, A/V Equipment, Software, Automated Fabrication",Public,Non-profit,City of Toronto,"789 Yonge Street, Main floor",M4W 2G8,416-393-7007,trlinnovationhub@tpl.ca,Educational,"3D Design and Printing
- Autodesk Fusion 360
- Prusa MK3S+ 3D Printers
- ZBrush Core Mini
Audio Recording 
- Ableton Live Suite
- Dynamic and Condenser microphones
- Logic Pro
- MIDI keyboard
- Reaper
- USB audio interface
Carbon Dioxide monitor 
Coding 
- Arduino Kits
- Raspberry Pi Kits
- Visual Studio Code
Graphic Design 
- Adobe Creative Cloud 2023 (To use the Adobe Creative Cloud Suite of software a free Adobe ID Account is required which includes 2 GB of cloud storage)
- Wacom Cintiq graphic tablets
Video Recording 
- Canon HD Video Camera
- Canon DSLR Camera
- DaVinci Resolve
- DSLR Camera (including tripods, cables)
- Final Cut Pro
- Green screen/Green wall
- Headphones
- LED Light Panels
- Microphones
- Microphone Stands and Cables
- MIDI Interfaces
- Studio speakers
- USB Audio Interface
- Video Camera (including tripods, cables)","They have kits you can borrow and take home:
- Arduino Kits
- Audio Recording Kits
- Raspberry Pi Kits",https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/
TPL Digital Innovation Hub York Woods,Library,Walk In,None,Public,Membership Needed,Free Use,All Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"1785 Finch Avenue West, Main floor",M3N 1M6,416-395-5981,ywinnovationhub@tpl.ca,Educational,"- 3D Printers 
- Audio Visual Studios
- Computers including featured software
- Tech kits including Arduino kits, audio recording kits, and raspberry pi kits",,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/digital-innovation-hubs.jsp
The Maker Bean,Community Centre,Appointment Based,Training Offered,Public,No Membership,Cost Per Materials Used ,Materials Provided,"Digital Fabrication, Woodwork Machinery",Public,Profit,City of Toronto,1052 Bloor St. West,M6H 1M3,647-346-2326,info@themakerbean.com,Educational,"- 3D design and printing
- Laser Cutting
- Robotics & Science
","Local coffee & tea, snacks and food, together with 3D printing, laser cutting and workshop",https://themakerbean.com/
Inter/Access,Museum,Walk In,None,Public,Membership Needed,Cost Per Materials Used ,No Materials Provided,Digital Fabrication,Public,Non-profit,City of Toronto,"950 Dupont St., Unit 1.",M6H 1Z2,416.532.0597,Website staff specific emails,,,,https://interaccess.org/
Sprouts Makerspace,Community Centre,Class/Workshop Bookable,None,Students,No Membership,Cost Per Materials Used ,All Materials Provided,Microelectronics,Private,Profit,City of Toronto,388 Carlaw Ave. Unit 101A,M4M 2T4,416-840-9718,info@sproutsmakerspace.ca,,,,https://www.sproutsmakerspace.ca/
